,Hasil,Label
0,efek vaksin booster nyeri pusing panas dingin bikin beser ya,0
1,gue tiket vaksin booster kayak duit juta,1
2,sumpah vaksin booster sore mandi tibatiba meriang ya allah adekku,1
3,habis vaksin booster tangan kiri keram hari,1
4,pegal banget pusing mual sumpah enak ih vaksin booster,0
5,besok sarap vaksin booster,1
6,selamat malam rehat besok vaksin booster,1
7,tangan kaku banget ya allah efek vaksin booster kah,1
8,undang vaksin booster vaksin ya,1
9,iya vaksin booster,1
10,kemarin habis darah rendah pusing vaksin booster kerja lembur malam mantap,1
11,boostervaksin tiga kasih tau testimoninya efek,1
12,kerja wajib vaksin booster,1
13,pengin vaksin booster ah minggu,1
14,fakta ungkap awal pagi mood vaksin empat booster jarum bahagia pilih paksa,1
15,vaksin booster,1
16,kayak nemu vaksin booster moderna gue gue kayak pakai moderna lucu vaksin moderna nya sinovac,1
17,malam malam ceramahin teman duluan vaksin booster,1
18,besok vaksin booster sakit ya,1
19,badan pikir capek tangan nyeri siang vaksin booster deh tidur besok kerja pagi,0
20,sebel banget deh vaksin booster,0
21,vaksin booster efek sayang ayang,1
22,pagi vaksin booster malemnya booster otak wkwk asli goblok anying,0
23,ambil vaksin booster kuarantin wajib efektif ramai patuh arah syarat potong gaji,1
24,beli makan kucing habis ongkos jakarta vaksin booster amin,1
25,bagus loh kampus kemarin numpang vaksin booster sana keliling tamantamannya cakep,1
26,sakitin gapapa vaksin kali plus booster hehe,1
27,tangan habis vaksin booster bengkak,1
28,aaa besok vaksin booster moga antri biar cepat,1
29,harap undi lupa covid antibody turun lepas vaksin ramai ambil booster,1
30,booster pakai astra zeneca respon kali vaksin,1
31,booster pfizer masyaallah tabarokallah habis vaksin gel malam tangan sakit dilurusin tiga mending,1
32,hei omg gue lupa besok vaksin booster aaaa malesss,1
33,vaksin booster astra akibat mual muntah,1
34,sadar gue vaksin booster wkwk vaksin bekas,1
35,badan gemetar kayak gegara efek booster vaksin kemarin tidur deh,1
36,vaksin booster mantap banget efek woi asa banget,1
37,takut ih besok gue vaksin booster,1
38,selamat tidur lupa vaksin booster,1
39,meriang banget badan gue efek vaksin booster huhu,0
40,habis vaksin booster puji tuhan demam gel and sakit punggung,0
41,daftar vaksin booster gampang kayak beli cilok langsung besok pagi,1
42,booster tuh vaksin nama beda beda,1
43,habis vaksin booster nyeri otot gue kompres mempan sakit banget,1
44,kuat kuat orang vaksin az ya gue nyicipin booster langsung klenger,1
45,habis vaksin booster badan gel wkwk,0
46,tipu angka golong terima vaksin mati covid nak promosi vaksin booster babi haram mulia doktordoktor kkm laknatullah,0
47,habis vaksin booster badan sakt,0
48,kaya efek vaksin booster gue tbtb melow,1
49,tidur gara gara vaksin booster sakit banget woi demam guling kiri dikit ngilu,0
50,vaksin ndo wakakkak gue sih rencana itung itung booster,1
51,antar adek keket booster vaksin bu kakak nya bawa kakak sekolah atuh bu,1
52,efek vaksin booster tiga pakai astrazeneca benerbener vaksin pas tidur rasa pusing panas dingin malam gigil hebat demam badan linu lengan bekas suntik,0
53,ngeri huhu syarat e dolan saiki vaksin booster,1
54,gue habis booster gakerasa ya beda vaksin kalo udahnya rada rasa,1
55,sabtu habis triceps day senin vaksin booster omg dobel nyeri,1
56,maju lo the rose vaksin booster gue,1
57,maksud ya pesan gocar lho gocar xl extra protect vaksin booster,1
58,habis makan bakso kerupuk mie gede bengong kenyang gapapalah habis vaksin booster butuh tenaga ekstra,1
59,info vaksin booster,1
60,vaksin booster lengan kiri tanda lahir putih bisa nyuntik bilang sakit mbak kayak buras garuk gue kayak langsung hah buta mata lo,0
61,booster tebet rsud pfizer tinggal lantai kasih ktp vaksin,1
62,pas vaksin efek vaksin booster bersin pilek badan belah kiri lemes takut besok demam deh,0
63,maba kak vaksin booster usu,1
64,vaksin kali asa banget efek huhu pas apa gilir booster badan gue benar ngilu kepala gue pusing banget siang kantor meriang,0
65,vaksin booster pas taun jarak wkwk,1
66,fakk sakit tangan vaksin booster,0
67,min vaksin booster stasiun tiket kereta jarak terima kasih,1
68,wii asik deh booster vaksin pakai vaksin ya,1
69,buset badan karuan gara-gara vaksin boosterhaid day,1
70,minimal vaksin kali enak booster bebas mana,0
71,yuk booster biar imun bagus sih virus gagal ngeinfeksi kalo imun oke kalah abang grab,1
72,wkwk ya anggap minum vaksin booster,1
73,muncul jalan vaksinasi laksana berboosterbooster imunitas alami sintas imunitas artifisial vaksin bentuk bicara kena covid penjara tangan move on,1
74,offline vaksin booster its a thing,1
75,syarat rupa serah min vaksin booster hadir wisudawan doang keluarga komorbid kenan hadir bulan gue doain offline,1
76,sih sertifikat vaksin dosis masuk besok booster hua hua hua hua,1
77,interview syarat vaksin booster tahun minggu vaksin ya,1
78,jumat kemarin teman lippo puri doi booster pas scan tunjuk vaksin security nya dibolehin masuk,1
79,sesal vaksin booster kemarin kemarin,1
80,mjb tempat standing atur situ bilang vaksin booster penuh usia vaksin,1
81,efek telat fin booster asa asoynya vaksin,1
82,managemen gue kocak banget suruh bimbing akre tanggal suruh booster tanggal tau vaksin kipi kalo pas bimbing sakit bgimane dokter mikir heran gue,1
83,kakak apoteker vaksin booster alias vaksin vaksin,1
84,kalo vaksin boster expired bahaya sih duh kacau nih atur kereta booster takut,0
85,vaksin booster nya lumayan ngefek ngantuk,1
86,wta pengin booster muncul eticket vaksin tuh september juni kemarin ya booster tau tia,1
87,vaksin booster sakit diri putus tangan amputasi hiksrot takpe strong besok kesal,0
88,sertifnya kayak coba hubungin cp vaksin booster kayak catetannya kalo vaksin,1
89,vaksin booster yuk vaksin yuk,1
90,booster sehat bapak pas live isi suket sehat sertif vaksin,1
91,sumpah vaksin booster bikin meriang,0
92,eh vaksin booster vaksin coba deh cek apk peduli lindung sana sertifikat booster bingung benar,1
93,vaksin tuh nama booster ya,1
94,vaksin kak rencana booster hehe,1
95,pilih ngelist vaksin booster kecuali kasih libur antisipasi kipi kapok banget efek moderna pctjam kali klenger,1
96,benci vaksin booster kipi,1
97,maba booster ngacung pengin prabu offline sih sertifnya vaksin,1
98,done vaksin booster jalan cari kitab suci barat,1
99,vaksin ku moderna dtgin booster ditolakin moderna,1
100,booster vaksin nya pfizer demam gel minggu orang lemah,0
101,tonton konser tiket kartu identitas vaksin booster,1
102,kalo vaksin booster fix sih gue titan,1
103,sedih kokas masuk vaksin booster,1
104,guys lupa vaksin booster ya,1
105,demo vaksin booster kah pakai masker oke pas bagi minum masker dagu biar masuk video pas sorot masker taro dagu kerumun tan,1
106,vaksin booster banget fren,1
107,wajibb mana wajib booster vaksin,1
108,wkwk ambil booster lupa makan sih vaksin tuh,1
109,pilih section standing vaksin booster maish umurr,1
110,besok ya vaksin booster,1
111,hai kak vaksin booster sertifikat nya masuk,1
112,jog vaksin covid kali lihat story temenku booster kali ya,1
113,pintar deh vaksin booster,1
114,kemarin tugas aksi bingung pilih eh vaksinasi booster puskesmas inisiatif sih selesaiin tugas bantu tugas vaksin puskesmas ya bantu nyuntik takut malpraktek,1
115,vaksin booster trauma kipinya trauma kena covid kali,1
116,hasil vaksin booster day gel sakit kepala lapar rindu,1
117,atur tonton konser vaksin booster ges,1
118,underage sih standing vaksin kali kemarin tiketdotcom larang usia under vaksin kali and vaksin booster,1
119,kayak banget kemarin rencana vaksin booster vaksin,1
120,woalah kalo vaksin booster siang bagi tiket antre,1
121,kalo vaksin booster kemarin ngefek aku bengkak merah area suntik alhamdulillah demam diare moderna ya btw moga booster less drama,1
122,booster anjir ya kalo mana kapai vaksin dosis sih,1
123,vaksin booster indak booster nih rayi,1
124,gampang sih tinggal vaksin sakit banget efek sih booster,1
125,nder vaksin dua september kemarin juli booster,1
126,booster lindung lindung tonton pasti lindung super junior vaksin komorbid surat nyata dokter,1
127,gue mesti ngisi form pmb offline deadline tanggal vaksin booster booster gue tahun tanggal kagok banget maha anjir,1
128,singkat cerita urus akomodasi inap vaksin booster cuti kerja percaya tonton konser lancar nikmat libur jakarta btw asal malang,1
129,duh semangat adek kakjil sayang besok vaksin booster pulang lupa adek kakjil cari makan sayang ya biar repot adek kakjil kalo lapar,1
130,takut habis vaksin booster,1
131,booster wajib atas bawah tuh vaksin,1
132,atas booster bawah vaksin,1
133,meriang gara vaksin booster,0
134,anjir pusing habis vaksin booster,0
135,habis vaksin booster tangan sakit banget sih,0
136,day mpkmb sv ipb enak badan alhamdulillah vaksin booster masalahhalangan ikut mpkmb kakakaka panitia nya care alhamdulillah terima kasih kak,1
137,efek vaksin booster tangan lengan belah kiri gerak alias nyeri banget cok,0
138,maghrib tangan kiri gel rasa gel suntik booster kiri vaksin vaksin gel,0
139,kartu vaksin syarat booster pakai peduli lindung ya,1
140,booster vaksin sifat suka rela dasar sadar sila booster paksa,1
141,vaksin booster sakit main,1
142,paham vaksin lengkap sesuai umur gapapa paham ya tulis wajib booster,1
143,nasib nakes uji coba vaksin habis booster langsung kerja rodi,1
144,soundproject ribet banget deh atur ganti vaksin booster ngehe,1
145,habis vaksin booster lengan sakit,0
146,friends vaksin booster kendala mana,1
147,halo kereta ekonomi jurus pwt lpn vaksin booster vaksin tolong balas thanks,1
148,bahagia malam besok pagi vaksin booster,1
149,cakup vaksin booster indonesia mandeg galak mana gue harap perintah nyerah,1
150,nya krg tau hehe vaksin vaksin booster badan kayak krg vit hehe alhamdulillah nya ngefek ya ringan ajasi,1
151,vaksin booster tau efek kayak,1
152,habis vaksin booster deh paracetamol tau sih kipi kalah rumit isi kepala,1
153,purwokerto info vaksin booster urgent thanks,1
154,kipi mari booster lumayan iki nder apa sehat vaksin ping,1
155,efek vaksin booster kah badan gue sakit bobo,0
156,vaksin kasi booster orang nya booster iya wajib booster bingung booster kali ortuku pas booster nya beda kalo booster gapapa,1
157,sih wajib vaksin booster gue dengar booster kasih tau klinik anjur perintah booster booster,1
158,vaksin kasi booster orang nya booster iya wajib,1
159,friends vaksin booster kendala mana,1
160,booster kak standing kali vaksin,1
161,halo min kalo vaksin rsui langsung daftar booster,1
162,halo admin vaksin booster bandara buka non tumpang vaksin situ,1
163,mjb sertif vaksin booster pdf jpg ya,1
164,kemarin tau coba cowok doang gadibayar ngiranya standing vaksin booster pas bilang shock kasihan,1
165,sih anggota nih bikin ribet tau vaksin booster nakes nakes suruh vaksin duluan maksutnya bikin pusing bikin lapor kerja kali,1
166,ayo booster ya ayo vaksin tanah papua bebas belenggu covid varian nama omicron ba ba,1
167,jog vaksin booster kali vaksin,1
168,vaksin booster tingkat imunitas kali lipat,1
169,gila kalo kayak kena covid mending kemarin vaksin booster aja resiko,1
170,kemanamana wajib vaksin booster nurut,1
171,booster vaksin bikin uring malam tidur nyenyak kayak zombie kak aufar badan kayak sakit tidur leluasa,1
172,kabar senang pagi orang teman dosis sinovac booster orang teman operasi tumor otak kejang vaksin dosis orang rawat rs trombosit turun drastis jaga,1
173,puan maharani dukung vaksin empat tenaga sehat puan cakup booster partama tingkat puan presiden,1
174,eh tau ya coba cek tiket vaksin boosternya app jaki langsung cari booster situ adek tulis tiket vaksin booster sedia salah,1
175,kalo booster beda vaksin nya sinovac astra pfizer astra modernapfizer,1
176,besok vaksin booster,1
177,lelah banget habis vaksin booster,1
178,post vaksin booster alias vaksin dosis aman haha,1
179,lengan gel habis vaksin second booster vaccine,1
180,covid indonesia sistem ajar tatap muka laku lantas vaksin booster anakanak,1
181,hadeh suruh vaksin booster dadak banget info,1
182,work vaksin booster muncul sertif booster baik ya,1
183,pengin vaksin booster,1
184,kalo pfizer nya pas booster pakai negeri vaksin ulang wkwk,1
185,amin kalo salah minum obat deh habis vaksin tuh gaenak badan parah mah wkwk tunggu pengin booster sih kaya,1
186,demam efek vaksin booster moderna,1
187,review booster demam parah booster sakit lengan rekomen vaksin demam abadi,1
188,vaksin booster moderna nikmat kipi nya,1
189,rasa vaksin booster ngantuk kepala pusing ngantuk tahan tidur nyeri area suntik,1
190,gue booster tiket kereta tata vaksin,1
191,alhamdulillah vaksin booster no kipi kipi,1
192,ya sih cape dikit sek vaksin booster hesjan,1
193,gigil pirsa landa vaksin booster,1
194,guyon daftarin parpol kpu anggota wajib vaksin booster ya,1
195,habis vaksin booster lengan berat demam diajakin omong kayak orang ngefly,1
196,coba santai atur pola hiduptidur atur dokter sakit hipertensi sebab pola hidup tidur stres alhamdullilah bulan normal nder pas vaksin tolak,1
197,gue nemu seminar maino hyung persentase vaksin booster kalo salah dosis tambah imun sender kaget antem virus vaksin kali lipat pas vaksin sakit bad cmiiw ya,1
198,efek vaksin booster hari ngantuk lapar percaya makan nasi padang bungkus lapar,1
199,habis vaksin booster rasai enak banget,1
200,ih kalo entar booster vaksin ambil sih efek booster kemarin ngeri,0
201,kipi vaksin booster edan tenan,0
202,lupa vaksin booster,1
203,vaksin booster mampus lu heran bego piara kambing noh piara,0
204,vaksin booster lemes kepala pusing rasa,0
205,bismillah niat vaksin booster moga kipi,1
206,loh tensi rendah tunda boosternya ya tensi rendah pas vaksin kemarin coba booster sih,1
207,hihi pagi jadwal vaksin booster total vaksin empat,1
208,vaksin booster moga leyot ya ges ya,1
209,gratitude journal day syukur vaksin booster coba abis ngobrolngobrol adik main keponakan bentar obrol temenku semangat,1
210,pusing benar mah salah banget vaksin jadwal jaga ganti infus kuat ngangkat tangan rasa booster kemarin,1
211,semangat om gue alumni covid vaksin booster vitamin air putih plus jemur jam pagi insyaallah kelar om kur sehat,1
212,gantung fisik om vaksin booster efek samping nggeregesi sepeeti takut orang pokok e aman wes,1
213,sehatsehat nano eh teman booster pakai pfizer virus nular insya allah nular vaksin kaya anak,1
214,art pulang nak bayik jatuh sepeda langsung imunisasi vaksin booster mantap moga habis vaksin drama ya bapak dinas solo hu,1
215,habis vaksin booster sakit banget ya anjir,0
216,vaksin booster pandemi bentuk mitigasi resiko longgar sosial booster masyarakat milik kebal tingkat durasi proteksi panjang,1
217,vaksin booster lindung banding dosis infeksi vaksin booster cegah gejala kurang parah risiko,1
218,halo min tolong bantu booster moderna galaxy mall mei follow up faskes isi data peduli lindung milik sertifikat vaksin aplikasi,1
219,gokar vaksin booster ditechno jenis vaksin apaya makasii,1
220,oh vaksin empat gas booster,1
221,vaksin booster badan sakit anjing,0
222,bumil vaksin booster,1
223,vaksin booster butuh warga sehat mudah proses administrasiperjalanan,1
224,habis vaksin booster moderna tangan gel banget,1
225,kalo booster pfizer benar tumbang ya vaksin,1
226,vaksin booster teh asu,0
227,kemarin vaksin booster alias vaksin dosis empat kipinya drama booster b dosis ya alumni covid kali kebal badan ane,1
228,tuju utama vaksin booster agenda konser jalan lancar,1
229,teman teman kipi efek second booster tiket vaksin deg deg an,1
230,booster done dah ya vaksin kelar tau deh kipi aman sih drama kayak pas booster nyeri bekas vaksin,1
231,eh ya bilang konspirasi covid covid denial banget sih gejala flu persis banget sakit gejala berat kali lipat untung gue vaksin booster,1
232,tes sehat suruh vaksin booster sarap,1
233,gel tangan booster dapat sertifikat orang vaksin booster sertifnya bangsat,0
234,vaksin booster seram haha,1
235,efek vaksin booster hilang hilang deh,1
236,lupa vaksin booster biar lancar vaksin vaksin kendala vaksin tubuh vaksin antibodi bentuk sanggup tampung vaksin,1
237,vaksin booster gel banget ya vaksin kemarin asa gapapa,0
238,yaallah after vaksin booster ulang kipinya lemes,0
239,apaansi nyuruh vaksin orang tinggal booster doang,1
240,vaksin booster lagivarian sebab vaksin orang habis vaksin sehat sakitanoknum uang rakyat sakit,0
241,booster manfaat lindung dagang vaksin impor vaksin beli paksa pakai kali vaksinbooster kena,0
242,minim vaksin booster kayak,1
243,rasa gejala efek vaksin moderna kayak booster dosis tangan bekas sunti pegal pusing badan sumengsumeng,0
244,oh iya gue engah vaksin booster wkwk anjir pikir gue kalut banget kayak urus negara,0
245,ya kasih tau tau sih indonesia beritain kalo mall public minimal booster vaksin cmiiw,1
246,buru deh vaksin tiga mana wajib booster,1
247,pikir info vaksin booster temenku mingdep kalo mesennya pisah takut bareng tt,1
248,cih besok vaksin booster begadang maraton konser,1
249,bingung booster tuh kali kalo vaksin kali ya,1
250,habis vaksin booster h gel linu tangan h panas turun h hidung pengar kagak selesai anjir,0
251,sakit vaksin booster jatuh celaka motor,0
252,gara efek vaksin booster kemarin nih badan sakit gila bonyok kalo bijak usaha suruh vaksin booster mah ogah banget kapai booster,0
253,ya pas vaksin apa sih pakai pfizer tau nih booster,1
254,dok mahasiswa fk vaksin berapa booster,1
255,wkwk iya kali mahasiswa profesi kak oh habis covid bulan langsung vaksin tau jarak enggak sih kak konsultasi dokter patologi minimal negatif,1
256,cerita kemarin gue booster vaksin sinovac az hahaha kayak sakit apaapa ah kayak rasa ges pas suntik tuh,1
257,anih kakak korban pukul dengar adik suka ajak warga vaksin booster tinggal vaksin,0
258,habis vaksin booster kayak orang sakit sih,0
259,ness info vaksin booster unnes semarang,1
260,efek booster vaksin rasa bareng sariawan ujung allah,1
261,bingung vaksin booster,1
262,minggu kemarin vaksin booster minggu sakit kepala efek vaksin minum reda nyeri sakit,1
263,tepar beh habis vaksin booster kemarin,1
264,minimal vaksin booster masuk tahap kak,1
265,gas gapapa vaksin booster kuat jantung hati buat allah buat pabrik,1
266,min kalo daftar booster tuju jaki tuh cek kuota vaksin,1
267,gue vaksin booster pengin butuh,1
268,vaksin booster kuat ayok kasih serang kuat,1
269,caca vaksin booster gas,1
270,booster sakit kemarin deh vaksin wkwk,1
271,vaksin booster sih,1
272,cowok pc malam besok vaksin booster bobo cepat,1
273,vaksin booster ya enak,1
274,vaksin booster pakai pfizer reaksi terima kasih ndes,1
275,pengin vaksin booster takut efek,1
276,boosterku astra gejalane kayak omicron h vaksin pos cov wkwk,1
277,renjun maju gatakut deh vaksin booster,1
278,blekoyen vaksin booster,1
279,sayang booster jenis vaksin kalo vaksin jenis vaksin apa booster,1
280,gue vaksin booster agustus wkwk bett,1
281,tetap vaksin ayo booster vaksin,1
282,presiden tekan vaksinasi gencar laksana daerah lanjut vaksinasi vaksin vaksin vaksin kuat booster presiden,1
283,gaes maaf oot vaksin booster efek booster maju mundur hope,1
284,vaksin booster jamin kuat hadap ganteng nct dream,1
285,gila efek vaksin booster sakit banget lengan kaku,0
286,besok vaksin booster insyaallah huhu moga,1
287,guys vaksin booster daftar ya,1
288,moga tidur cepat biar telat vaksin booster,1
289,kereta jarak tuh minimal vaksin ya booster,1
290,nakes booster vaksin ya,1
291,minggu hilang nafsu makan cepat lelah iya banget plus daya nurun vaksin booster deh lngkp kena,1
292,efektivitas vaksin primer turun masyarakat dihimbau vaksin booster upaya lindung,1
293,nyuntikin vaksin booster kayak kak,1
294,antibodi duduk ri tingkat alami naik antibodi masyarakat vaksin,1
295,ayo vaksin booster cegah lonjak covid nkri tumbuh kuat,1
296,efek vaksin booster lumayan asa ketimbang,1
297,orang wajib suntik vaksin kali kali alias booster nkri tumbuh kuat,1
298,juru bicara tim satgas tangan corona profesor wiku adisasmito vaksin booster kuat antibodi manusia suntik vaksin dosis nkri tumbuh kuat,1
299,virus hasil mutasi ganas wajib waspada warga negara indonesia usia wajib suntik vaksin booster nkri tumbuh kuat,1
300,booster kali vaksin sebab efektivitas vaksin turun sunti vaksin corona dosis dibooster nkri tumbuh kuat,1
301,badan capek pengin vaksin booster aman sih jarang banget vaksin booster domisili gue,1
302,tetap milik poin salah satu wajib vaksin booster syarat pasuk fasilitas publik fasilitas nkri tumbuh kuat,1
303,tuang syarat vaksin booster kecuali masyarakat vaksinasi nkri tumbuh kuat,1
304,kuliah offline vaksin booster,1
305,efek vaksin booster astra kayak simulasi covid sakit parah badan panas mual muntah sakit kepala parah badan sakit kalo pegang badan gel parah tidur saking sakit tahan,0
306,alhamdulillah vaksin booster desember ribet tes pcr vaksin booster laku vaksin siap pasti sehat tidur makan istirahat laku vaksin kondisi paksa,1
307,maaf kak annual pas vaksin booster,1
308,tambah asih tau atas wajib vaksin booster ya standing seating,1
309,ayah vaksin anak vaksin booster maju mundur,1
310,sadar hina vaksin anggap lawan nurut perintah ya dukung perintah wajib deh booster takut,0
311,personil sat polairud polres bangka barat laksana giat himbauan nelayan masyarakat putar labuh limbung giat personil piket ajak masyarakat nelayan vaksin booster laksana vaksin antisipasi,1
312,habis vaksin booster sakit kalah sakit pas covid,1
313,vaksin asa kayak yauda efek pas habis booster asa remuk badan,1
314,hahaha guna antibodi virus asli wuhan makan tuh antibodi hasil vaksin efektif satusatunya jenis antibodi efektif hasil infeksi alami,0
315,booster gampang meriang eh kemarin habis vaksin badan gaenak banget,1
316,dok bos booster tuh kena covid vaksin kebal tubuh lemah dok dosa dunia akherat dokter tau kandung vaksin insyaf dok,0
317,vaksin booster kuat ya,1
318,bayang deh vaksin booster faskesnya kagak diinput data klaim sertifikat peduli lindung deh vaksin asa kesel banget heu,1
319,vaksin booster rasa banget gel,1
320,model vaksin booster ya bang,1
321,vaksin booster kalo freenya weekend rawr,1
322,vaksin booster kapten gaboleh angkat piala,1
323,kalo cuci uang pakai syarat vaksin booster ya bu dok,1
324,mending olahraga paksa kalo booster vaksin paksa penting biar laku sih beda orba,0
325,booster antibodi eh kena covid kali masuk rumah sakit mending vaksin kena covid sehat walafiat,0
326,efek vaksin booster ya pusing,1
327,vaksin orang booster,1
328,vaksin booster rsnd sih nder dapetnya pfizer mahasiswa undip stocknya habis ya krg tau,1
329,pesan tiket vaksin booster h berangkat vaksin booster kak butuh swab antigen,1
330,scan tau booster pas vaksin sih,1
331,habis vaksin booster alhamdulillah terimakasih dibantuin orang,1
332,wajib vaksin booster install peduli lindung,1
333,vaksin booster umur,1
334,vaksin booster sehat sakit,0
335,kalo masuk mall checkin pedulilindungi pakai akun teman vaksin booster hacker,1
336,vaksin efektif,0
